CityCode,StateAbbr,StateDesc,CityName,DataSource,Category,Data_Value_Type,Data_Value,MeasureId,Short_Question_Text,LongMeasureName
C-108,CA,California,Sacramento,BRFSS,Health Outcomes,Crude prevalence,12.7,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Health Outcomes,Crude prevalence,3,STROKE,Stroke,Stroke among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Health Outcomes,Crude prevalence,13,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,13.2,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,67.7,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,64.5,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,70.1,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,68.6,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,29,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,25.8,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,60.5,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,79.7,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-108,CA,California,Sacramento,BRFSS,Prevention,Crude prevalence,81.6,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-108,CA,California,Sacramento,BRFSS,Unhealthy Behaviors,Crude prevalence,16.8,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Unhealthy Behaviors,Crude prevalence,15.7,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Unhealthy Behaviors,Crude prevalence,22.7,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Unhealthy Behaviors,Crude prevalence,28.1,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-108,CA,California,Sacramento,BRFSS,Unhealthy Behaviors,Crude prevalence,37.8,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,16.3,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,25.5,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,4.2,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,9.2,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,5.2,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,5.7,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,10.7,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,33.9,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,3,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,14.5,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,14.1,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,2.8,STROKE,Stroke,Stroke among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Health Outcomes,Crude prevalence,16.6,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,24.9,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,65.2,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,60.4,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,63.9,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,53.9,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,27.3,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,24,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,52.4,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,75.8,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-109,CA,California,Salinas,BRFSS,Prevention,Crude prevalence,82.9,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-109,CA,California,Salinas,BRFSS,Unhealthy Behaviors,Crude prevalence,16.5,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Unhealthy Behaviors,Crude prevalence,16.7,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Unhealthy Behaviors,Crude prevalence,28.1,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Unhealthy Behaviors,Crude prevalence,30.8,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-109,CA,California,Salinas,BRFSS,Unhealthy Behaviors,Crude prevalence,35.2,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,20.3,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,31.5,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,4.4,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,10.7,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,6.2,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,7.3,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,12.8,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,36,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,3.6,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,16.6,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,16.6,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,3.8,STROKE,Stroke,Stroke among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Health Outcomes,Crude prevalence,22.9,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,22.6,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,66.8,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,63.3,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,66.2,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,53.9,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,22.4,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,23.3,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,47.8,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,81.5,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-110,CA,California,San Bernardino,BRFSS,Prevention,Crude prevalence,82.7,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-110,CA,California,San Bernardino,BRFSS,Unhealthy Behaviors,Crude prevalence,15.5,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Unhealthy Behaviors,Crude prevalence,19.1,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Unhealthy Behaviors,Crude prevalence,29.4,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Unhealthy Behaviors,Crude prevalence,32.3,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-110,CA,California,San Bernardino,BRFSS,Unhealthy Behaviors,Crude prevalence,41.3,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,20.3,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,27.8,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,6.6,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,8.5,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,5.4,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,5.5,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,8.7,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,33.2,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,2.7,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,11.3,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,11,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,2.6,STROKE,Stroke,Stroke among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Health Outcomes,Crude prevalence,9.3,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,10.3,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,71.4,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,65.2,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,77.9,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,72.1,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,35.9,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,35.4,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,70.7,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,80.2,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Prevention,Crude prevalence,85.9,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Unhealthy Behaviors,Crude prevalence,18.7,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Unhealthy Behaviors,Crude prevalence,13.1,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Unhealthy Behaviors,Crude prevalence,18.6,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Unhealthy Behaviors,Crude prevalence,24.5,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-111,CA,California,San Buenaventura (Ventura),BRFSS,Unhealthy Behaviors,Crude prevalence,33.3,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,16.1,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,24.1,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,5,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,8,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,4.4,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,4.3,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,8.2,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,30.9,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,2.4,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,11.6,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,9.8,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,2.3,STROKE,Stroke,Stroke among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Health Outcomes,Crude prevalence,8.9,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,11.3,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,67.7,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,64,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,72.7,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,69.5,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,29.6,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,33.2,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,69.1,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,81.2,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-112,CA,California,San Diego,BRFSS,Prevention,Crude prevalence,85.3,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-112,CA,California,San Diego,BRFSS,Unhealthy Behaviors,Crude prevalence,20.7,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Unhealthy Behaviors,Crude prevalence,12.6,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Unhealthy Behaviors,Crude prevalence,17.4,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Unhealthy Behaviors,Crude prevalence,19.8,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-112,CA,California,San Diego,BRFSS,Unhealthy Behaviors,Crude prevalence,33.3,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,16,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,25,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,5.2,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,7.8,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,4.5,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,4,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,8.5,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,32.1,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,2.4,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,9.9,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,8.9,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,2.2,STROKE,Stroke,Stroke among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Health Outcomes,Crude prevalence,9,TEETHLOST,Teeth Loss,All teeth lost among adults aged >=65 Years
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,8.8,ACCESS2,Health Insurance,Current lack of health insurance among adults aged 18–64 Years
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,69.6,BPMED,Taking BP Medication,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,64.5,CHECKUP,Annual Checkup,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,75.6,CHOLSCREEN,Cholesterol Screening,Cholesterol screening among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,66.1,COLON_SCREEN,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years"
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,32.7,COREM,Core preventive services for older men,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,29.7,COREW,Core preventive services for older women,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,69.7,DENTAL,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,79.8,MAMMOUSE,Mammography,Mammography use among women aged 50–74 Years
C-113,CA,California,San Francisco,BRFSS,Prevention,Crude prevalence,82.4,PAPTEST,Pap Smear Test,Papanicolaou smear use among adult women aged 21–65 Years
C-113,CA,California,San Francisco,BRFSS,Unhealthy Behaviors,Crude prevalence,21.6,BINGE,Binge Drinking,Binge drinking among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Unhealthy Behaviors,Crude prevalence,11.7,CSMOKING,Current Smoking,Current smoking among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Unhealthy Behaviors,Crude prevalence,17.8,LPA,Physical Inactivity,No leisure-time physical activity among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Unhealthy Behaviors,Crude prevalence,17.1,OBESITY,Obesity,Obesity among adults aged >=18 Years
C-113,CA,California,San Francisco,BRFSS,Unhealthy Behaviors,Crude prevalence,30.4,SLEEP,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,15.2,ARTHRITIS,Arthritis,Arthritis among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,23.2,BPHIGH,High Blood Pressure,High blood pressure among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,4.9,CANCER,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,7.8,CASTHMA,Current Asthma,Current asthma among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,4.3,CHD,Coronary Heart Disease,Coronary heart disease among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,4,COPD,COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,9,DIABETES,Diabetes,Diagnosed diabetes among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,30.6,HIGHCHOL,High Cholesterol,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,2.3,KIDNEY,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,10.2,MHLTH,Mental Health,Mental health not good for >=14 days among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,9.9,PHLTH,Physical Health,Physical health not good for >=14 days among adults aged >=18 Years
C-114,CA,California,San Jose,BRFSS,Health Outcomes,Crude prevalence,2.1,STROKE,Stroke,Stroke among adults aged >=18 Years
